Date,ABNB,AMZN,BX,CTAS,CVX,GM,GOOG,NVDA,UBER
2010-06-03,,679453665.3375626,12101710.144042969,21167386.89422607,611942097.3632812,,1845793935.678428,170773471.9724655,
2010-06-04,,674952652.4887085,19334410.355186462,25726126.095199585,749479758.3450317,,1955131968.775034,186318256.50024414,
2010-06-07,,801166478.0273438,16876216.156482697,36572439.613723755,509880066.6130066,,1763748585.7326508,152234367.88787842,
2010-06-08,,1364806075.8476257,14384126.99584961,35979150.09880066,682466419.8867797,,1301682763.6958094,248088271.50859833,
2010-06-09,,868902398.9868164,14573352.37503052,26155052.459716797,577723691.619873,,1293600516.3603077,174423348.05145264,
2010-06-10,,746874384.0122223,12521300.430631638,28614779.327774048,599411875.5752563,,1255463077.4292984,159233710.56785583,
2010-06-11,,517291956.9263458,10940605.035352707,25016309.088134766,358407760.66589355,,870360409.2777444,117708857.67059326,
2010-06-14,,485785104.6657562,14593707.745552063,24168831.635284424,513922155.670166,,985900882.9073067,97713482.71274567,
2010-06-15,,575980440.6929016,11901014.321899414,16845289.798736572,513004405.87387085,,2121238321.7189798,144504746.1046219,
2010-06-16,,503069653.3651352,15631239.638710022,14911067.788314821,453041511.5432739,,1147557369.730709,98918880.47218323,
2010-06-17,,437971301.240921,9992874.97177124,15269296.975708008,485373752.27737427,,988808122.2538071,240741641.64361954,
2010-06-18,,482683887.0239258,6296068.7828063965,22192243.011474606,599059206.0455322,,1436536187.575201,263124316.0560608,
2010-06-21,,652909641.0970688,10841133.28371048,17996994.491386414,410391397.8462219,,1457618810.9686966,159698416.23392105,
2010-06-22,,759202628.6849976,8575283.497524261,20899900.854492184,453821299.3484497,,1079329168.3037255,216895551.36432648,
2010-06-23,,662521919.9714661,11752753.322601318,20302963.69285584,623320161.2182617,,978127728.083107,164618124.75156787,
2010-06-24,,919554277.2293091,12263515.131568909,15135995.096397402,582723976.739502,,899649330.8490478,184723157.06691742,
2010-06-25,,698133722.0096588,13467684.062862396,28841613.892936707,831692114.7857666,,1061261093.6919423,128880908.00333023,
2010-06-28,,661117145.0138092,7427319.484949113,17106410.121917725,441113510.1383209,,831946544.6118363,94695143.44367981,
2010-06-29,,1397408850.8529663,19479819.69356537,35021760.5009079,650908026.4240265,,1590863898.0477,158814116.6507721,
2010-06-30,,1064268847.0716476,13843968.860244751,22688525.786209106,506455712.84103394,,1603243750.1741219,145886948.80828857,
2010-07-01,,946466583.9214325,17046659.30914879,26858480.639266968,639187106.2561035,,1544192126.427064,175437309.7881317,
2010-07-02,,488630674.1886139,10393112.273406982,20062687.294006348,356871732.0327759,,845160801.0928802,173260819.5137024,
2010-07-06,,574436135.3025436,11612695.187187195,26247505.477905273,589166893.3963776,,1116382799.305639,165570388.82875443,
2010-07-07,,560457650.3562927,15759525.398254395,24840164.094352722,631889103.8478851,,1408990898.5254478,148314451.98526382,
2010-07-08,,787390482.4256897,20433419.792175293,20865273.89087677,550305616.6713715,,1218512955.8405342,185192660.17932892,
2010-07-09,,476673619.1768646,14300090.142059326,11811918.685150145,474478792.0452118,,2024932975.9971113,135650432.519722,
2010-07-12,,571688046.2188721,11969347.837829592,26643874.997520447,306300389.03808594,,1586607496.422451,136661379.2022705,
2010-07-13,,876814498.7697601,11571844.830322266,22931036.803627014,583913023.5214233,,1945205936.2950668,181135343.68476868,
2010-07-14,,648188095.9892273,11008034.589004517,17432824.73487854,497727743.9060211,,1531998059.394727,342909876.77879333,
2010-07-15,,738182281.8403244,13361882.17716217,14217260.698699951,445020092.28820807,,2400048012.9969993,234304314.55078125,
2010-07-16,,737943869.5745468,10185157.673835754,28211652.95906067,500027317.35839844,,3596356431.0721765,296987346.4730263,
2010-07-19,,603406167.8781509,8973681.950569153,23145572.631835938,348630414.47753906,,2121258836.1593666,191525419.60430145,
2010-07-20,,814878515.5296326,10136066.033935549,28045079.296874996,378198050.79460144,,1952606722.9084966,285413831.1904907,
2010-07-21,,588523932.5294495,15071430.711364748,34804253.228759766,378529514.4584656,,1566009001.1829665,148617333.8918686,
